City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Banda Aceh,ID,2022-05-27 19:22:36,5.5577,95.3222,81.93,75,100,14.47
112,Beringovskiy,RU,2022-05-27 19:14:51,63.05,179.3167,39.88,83,98,8.32
113,Vila Franca Do Campo,PT,2022-05-27 19:14:55,37.7167,-25.4333,64.81,76,100,6.29
114,Umm Kaddadah,SD,2022-05-27 19:22:36,13.6017,26.6876,84.36,7,11,11.74
115,Port Augusta,AU,2022-05-27 19:22:36,-32.5,137.7667,51.03,91,9,2.73
116,Rangapara,IN,2022-05-27 19:22:36,26.8167,92.65,73.72,89,76,2.17
117,Komsomolskiy,UZ,2022-05-27 19:22:37,40.4272,71.7189,68.72,60,75,6.91
118,Sharlyk,RU,2022-05-27 19:22:37,52.9167,54.75,52.45,91,14,15.26
119,Catuday,PH,2022-05-27 19:22:37,16.2923,119.8062,81.03,75,94,8.59
120,Aktash,RU,2022-05-27 19:22:37,50.3,87.7333,43.48,78,0,3.6
121,New Norfolk,AU,2022-05-27 19:17:11,-42.7826,147.0587,40.71,87,100,3.13
122,Kirovgrad,RU,2022-05-27 19:22:38,57.4297,60.0597,46.8,71,100,3.58
123,Dikson,RU,2022-05-27 19:16:05,73.5069,80.5464,19.33,90,5,4.43
124,Upernavik,GL,2022-05-27 19:12:56,72.7868,-56.1549,26.76,79,100,13.09
125,Port Lincoln,AU,2022-05-27 19:14:47,-34.7333,135.8667,55.38,89,27,11.21
126,Kyra,RU,2022-05-27 19:22:38,49.5776,111.9753,37.53,51,5,6.76
127,Sao Filipe,CV,2022-05-27 19:16:01,14.8961,-24.4956,73.13,79,16,5.23
128,Lagoa,PT,2022-05-27 19:22:38,39.05,-27.9833,62.26,92,100,14.52
129,Chokurdakh,RU,2022-05-27 19:14:54,70.6333,147.9167,28.06,82,100,7.65
130,Nizhniy Kuranakh,RU,2022-05-27 19:22:39,58.8353,125.4869,41.85,94,100,12.84
131,Kieta,PG,2022-05-27 19:22:39,-6.2167,155.6333,77.74,83,48,2.75
132,Manaus,BR,2022-05-27 19:22:39,-3.1019,-60.025,90.09,66,20,11.5
133,Punta Alta,AR,2022-05-27 19:22:39,-38.8759,-62.0736,50.02,51,99,3.29
134,Puerto Ayora,EC,2022-05-27 19:14:49,-0.7393,-90.3518,82.36,83,32,7.0
135,Severo-Kurilsk,RU,2022-05-27 19:15:58,50.6789,156.125,41.5,89,89,1.66
136,Cabo Rojo,PR,2022-05-27 19:22:40,18.0866,-67.1457,86.9,70,46,5.99
137,Ucluelet,CA,2022-05-27 19:22:40,48.9329,-125.5528,51.1,89,100,1.01
138,Airai,TL,2022-05-27 19:15:59,-8.9266,125.4092,55.65,84,2,2.62
139,Leningradskiy,RU,2022-05-27 19:23:16,69.3833,178.4167,32.61,98,100,4.47
140,Naze,JP,2022-05-27 19:19:44,28.3667,129.4833,59.92,66,100,1.54
141,Rangpo,IN,2022-05-27 19:23:40,27.1833,88.5333,68.77,88,2,5.14
142,Aquiraz,BR,2022-05-27 19:23:40,-3.9014,-38.3911,87.46,73,22,7.63
143,Zuidhorn,NL,2022-05-27 19:23:41,53.2467,6.4028,55.94,70,20,14.97
144,Lompoc,US,2022-05-27 19:23:41,34.6391,-120.4579,72.01,62,100,16.11
145,Padang,ID,2022-05-27 19:20:50,-0.9492,100.3543,77.45,85,80,1.9
146,Port Said,EG,2022-05-27 19:23:41,31.2565,32.2841,73.17,80,0,9.26
147,Lasa,IT,2022-05-27 19:17:23,46.6166,10.7002,68.88,80,21,6.55
148,Atar,MR,2022-05-27 19:19:42,20.5169,-13.0499,93.78,30,34,21.81
149,Yankton,US,2022-05-27 19:23:42,42.8711,-97.3973,80.85,22,0,0.0
150,Cheremukhovo,RU,2022-05-27 19:23:42,60.3484,59.9851,42.98,93,38,1.36
151,Saint-Pierre,RE,2022-05-27 19:16:09,-21.3393,55.4781,71.28,64,0,8.05
152,Geraldton,AU,2022-05-27 19:19:39,-28.7667,114.6,57.61,88,0,14.97
153,Oum Hadjer,TD,2022-05-27 19:23:42,13.2954,19.6966,92.8,7,4,7.83
154,Pascagoula,US,2022-05-27 19:23:42,30.3658,-88.5561,88.41,47,0,11.34
155,Arman,RU,2022-05-27 19:23:43,59.7,150.1667,39.02,91,99,1.97
156,Husavik,IS,2022-05-27 19:14:53,66.0449,-17.3389,38.68,81,72,4.9
